weather _id,district_id,MaxT,MinT,WindSpeed,Humidity ,Precipitation
602,602,29.7,25.6,2.6,79.8,29.5
603,603,29.2,25.6,2.4,80.4,18.2
604,604,32.6,26.1,3,75.3,0
605,605,32.9,27.2,3.4,72.3,4.6
606,606,31.4,25.8,3.3,81.5,36.4
607,607,30.4,24.9,3.4,80.5,17.2
608,608,32.1,27,2.8,79.2,4.3
609,609,33.6,27,2,75.6,12.9
610,610,33.5,27.3,1.7,79.4,6.4
611,611,33.9,27.1,1.4,80.5,0
612,612,33.6,27,1.7,75.2,0
613,613,34.2,26.7,1.4,72.2,5.7
614,614,34.3,26.5,1.7,74,2.8
615,615,31.9,25.2,2.6,82.4,11.3
616,616,32.2,24.9,2.6,78.8,2.9
617,617,31,26,2.4,74.8,7.7
618,618,30.1,26.1,2.7,77.2,6.9
619,619,31.2,25.5,1.6,76.7,0
620,620,29.7,25.5,1.7,67.3,23.1
621,621,30.2,25.4,2.7,74.1,26.4
622,622,28.1,25.1,2.9,76,18.7
623,623,29.8,25.9,3.4,72.9,15.6
624,624,32.3,26.3,3.9,65,4.6
625,625,33,27,3.3,72.1,0
626,626,33.1,27.7,2.9,74.5,4.6
627,627,31.8,27.2,2.9,74.8,6.4
628,628,32.4,26.4,2.6,75.9,6.6
629,629,33.7,26.6,2.3,76.9,3.8
630,630,32,26.8,2.3,74.4,13
631,631,30.6,24.7,2.3,76.7,10.4
632,632,32.5,25.6,2.4,77.2,12.5
633,633,32.8,26.1,2.3,68.5,9.1
634,634,33.4,25.8,1.7,67.9,5.8
635,635,30,25.3,1.6,63.1,37.4
